phase_header,sum_cont_1,sum_cont_2,movies,more_link,phase_photo,phase,type,name,year,time,img_link,web_link,released,full_name
PHASE 1,"As of my last update in September 2021,Marvel Studios had already completed several phases of their cinematic universe. However,if we were to describe ""Phase 1"" of the Marvel Cinematic Universe (MCU), it refers to the initial set of interconnected films that laid the foundation for the expansive superhero saga.","Phase 1 started with Iron man & concluded with ""The Avengers,""which was a monumental success and paved the way for future phases, expanding the MCU into a multi-film franchise that now includes three phases beyond the initial one. As of 2021, the MCU has grown to become one of the most significant and successful film franchises in history, with numerous interconnected films, TV shows,and a wide array of beloved characters.","[""Ironamn"",""The Incredible Hulk"",""Ironman 2"",""Thor"",""Captain America"",""The Avengers""]",Phase1.html,./Images/movies-page/phase1-poster.jpg,1,movie,ironman,2008,2h 6m,./Images/movies/phase1/ironman/ironman_poster.jpg,https://www.marvel.com/movies/iron-man,y,Ironman
PHASE 2,Phase Two of the Marvel Cinematic Universe (MCU) is a series of American superhero films produced by Marvel Studios based on characters that appear in publications by Marvel Comics. The phase began in 2013 with the release of Iron Man 3 and concluded in 2015 with the release of Ant-Man.,"Unlike Phase One, Phase Two was set in relatively real time in order to simplify the timeline of the MCU.Each film was set roughly in real time relating to The Avengers(2012). Iron Man 3 is set around six months later during Christmas, Thor: The Dark World is set one year later, and Captain America: The Winter Soldier is two years after.Guardians of the Galaxy is set explicitly in 2014.Avengers: Age of Ultron and Ant-Man ended the Phase in 2015 and several months passed between the films in-universe as in real life.","[""Ironman 3"",""Thor:The Dark World"",""Captain America:The Winter Soldier"",""Guardians of the Galaxy"",""Avengers:Age of Ultron"",""Antman""]",Phase2.html,./Images/movies-page/phase2-poster.jpg,1,movie,hulk,2008,1h 52m,./Images/movies/phase1/hulk/hulk_poster.jpg,https://www.marvel.com/movies/the-incredible-hulk,y,The Incredible Hulk
PHASE 3,"The phase began in 2016 with the release of Captain America: Civil War and concluded in 2019 with the release of Spider-Man: Far From Home. It includes the crossover films Avengers:Infinity War, released in 2018, and its sequel Avengers:Endgame, released in 2019.","Phase 3 of the Marvel Cinematic Universe (MCU) was a monumental and transformative period that took place from 2016 to 2019, spanning a total of 4 years. It consisted of a remarkable collection of films and TV series, shaping the course of the MCU and building towards an epic conclusion.","[""Captain America: Civil War"",""Doctor Strange"",""Guardians of the Galaxy Vol 2"",""Spiderman Homecoming"",""Thor Ragnarok"",""Black Panther"",""Avengers :Infinity War"",""Antman & The Wasp"",""Captain Marvel"",""Avengers :Endgame"",""Spiderman Far From Home""]",Phase3.html,./Images/movies-page/phase3-poster.jpg,1,movie,ironman2,2010,2h 4m,./Images/movies/phase1/ironman2/ironman2_poster.jpg,https://www.marvel.com/movies/iron-man-2,y,Ironman 2
,,,,,,1,movie,thor,2011,1h 54m,./Images/movies/phase1/thor/thor_poster.jpg,https://www.marvel.com/movies/thor,y,Thor
,,,,,,1,movie,cap1,2011,2h 4m,./Images/movies/phase1/cap1/cap1_poster.jpg,https://www.marvel.com/movies/captain-america-the-first-avenger,y,Captain America: First Avenger
,,,,,,1,movie,avengers1,2012,2h 23m,./Images/movies/phase1/avengers/avengers_poster.jpg,https://www.marvel.com/movies/the-avengers,y,The Avengers
,,,,,,2,movie,ironman3,2013,2h 11m,./Images/movies/phase2/ironman3/ironman3_poster.jpg,https://www.marvel.com/movies/iron-man-3,y,Ironman 3
,,,,,,2,movie,thor2,2013,1h 52m,./Images/movies/phase2/thor2/thor2_poster.jpg,https://www.marvel.com/movies/thor-the-dark-world,y,Thor: Dark World
,,,,,,2,movie,cap2,2014,2h 16m,./Images/movies/phase2/cap2/cap2_poster.jpg,https://www.marvel.com/movies/captain-america-the-winter-soldier,y,Captain America: Winter Soldier
,,,,,,2,movie,gotg,2014,2h 2m,./Images/movies/phase2/gotg/gotg_poster.jpg,https://www.marvel.com/movies/guardians-of-the-galaxy,y,Guardians of the Galaxy
,,,,,,2,movie,avengers2,2015,2h 21m,./Images/movies/phase2/avengers2/avengers2_poster.jpg,https://www.marvel.com/movies/avengers-age-of-ultron,y,Avengers: Age of Ultron
,,,,,,2,movie,antman,2015,1h 57m,./Images/movies/phase2/antman/antman3_poster.jpg,https://www.marvel.com/movies/ant-man,y,Antman
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,3,movie,,,,,,y,
,,,,,,4,movie,,,,,,y,
,,,,,,4,movie,,,,,,y,
,,,,,,4,movie,,,,,,y,
,,,,,,4,movie,,,,,,y,
,,,,,,4,movie,,,,,,y,
,,,,,,4,movie,,,,,,y,
,,,,,,4,movie,,,,,,y,
,,,,,,5,movie,antman3,2023,2h 5m,./Images/movies/phase5/antman3/antman3_poster.jpg,https://www.marvel.com/movies/ant-man-and-the-wasp-quantumania,y,Antman: Quantumania
,,,,,,5,movie,gotg3,2023,2h 29m,./Images/movies/phase5/gotg3/gotg3_poster.jpg,https://www.marvel.com/movies/guardians-of-the-galaxy-volume-3,y,Guardians of the Galaxy Vol 3
,,,,,,5,movie,captainmarvel2,2023,1h 45m,./Images/movies/phase5/captainmarvel3/captainmarvel3_poster.jpg,https://www.marvel.com/movies/the-marvels,y,The Marvels
,,,,,,5,movie,deadpool3,2024,..,./Images/movies/phase5/deadpool3/deadpool3_poster.jpg,https://www.marvel.com/movies/deadpool-and-wolverine,n,Deadpool and Wolverine
,,,,,,5,movie,cap4,2025,..,./Images/movies/phase5/cap4/cap4_poster.jpg,https://www.marvel.com/movies/captain-america-brave-new-world,n,Captain America Brave New World
,,,,,,5,movie,f4,2025,..,./Images/movies/phase5/f4/f4_poster.jpg,https://www.marvel.com/movies/fantastic-four,n,Fantastic Four
,,,,,,5,movie,thunderbolts,2025,..,./Images/movies/phase5/thuderbolts/thuderbolts_poster.jpg,https://www.marvel.com/movies/thunderbolts,n,Thunderbolts 
,,,,,,5,movie,blade,2025,..,./Images/movies/phase5/blade/blade_poster.jpg,https://www.marvel.com/movies/blade,n,Blade
